Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
3,1,0.45272319662402744,0,0,0.015281580671177828,1
3,0,0.6175656072794409,1,0,0.013663090060062943,2
2,1,0.815376500065937,0,0,0.018908740708122825,1
3,1,0.3538177502307794,0,0,0.016908073949327893,2
3,0,0.287880785968614,1,1,0.023983602730431916,2
3,1,0.18238164314914942,0,0,0.01800600082915438,2
3,0,0.3933799287880786,0,0,0.014891206669461744,1
2,1,0.34063035737834635,1,1,0.056604230248832196,2
3,0,0.23513121455888172,0,0,0.014110458666029575,0
3,1,0.27469339311618096,2,0,0.04713766070721715,2
3,1,0.34222672598679876,0,0,0.015411575213749286,2
1,1,0.6043782144270078,0,0,0.050748620223090936,2
1,0,0.3010681788210471,1,0,0.16057390443488287,2
2,1,0.8285638929183701,1,0,0.050748620223090936,2
1,0,0.6175656072794409,1,0,0.11940564777490723,2
2,0,0.31425557167348017,1,0,0.05410739813385612,0
2,1,0.459316893050244,0,0,0.024105594605968193,1
3,1,0.27469339311618096,0,0,0.014102260811993537,0
3,0,0.3538177502307794,1,0,0.015468569817999833,2
3,0,0.5911908215745747,0,0,0.014102260811993537,0
1,1,0.7230647500989055,1,0,0.11594107850967697,0
3,1,0.11644467888698405,0,1,0.0061889894232067975,2
1,0,0.5177182042538762,0,0,0.06184168304285603,2
1,1,0.27469339311618096,0,1,0.11980421963065935,0
1,0,0.630753000131874,1,3,0.5121218935012878,0
3,1,0.6571277858367401,1,0,0.028302115124416098,2
1,0,0.287880785968614,0,1,0.1209753416358076,0
3,1,0.29447448239483054,0,0,0.014102260811993537,0
1,1,0.5384412501648425,0,0,0.05953203526170282,2
3,1,0.2615060002637479,2,0,0.04231498029001666,0
2,1,0.6571277858367401,1,0,0.050748620223090936,2
2,1,0.31425557167348017,2,0,0.061483905270283246,2
3,0,0.43294210734537786,1,2,0.04015972542654215,2
3,0,0.21647105367268893,1,2,0.04577135170121086,2
1,1,0.3933799287880786,1,0,0.11272049299551928,0
3,1,0.24172491098509827,0,0,0.014110458666029575,0
3,0,0.34222672598679876,0,0,0.015712553569072387,2
3,0,0.27469339311618096,0,0,0.016908073949327893,2
3,1,0.32744296452591326,0,0,0.018542765081513996,2
3,1,0.34222672598679876,0,0,0.11027245763075773,2
3,1,0.5120664644599763,0,1,0.026187654344120927,0
1,1,0.5177182042538762,0,0,0.051822148727810165,2
3,1,0.5384412501648425,0,0,0.0153221795673563,2
2,0,0.3933799287880786,0,0,0.025374310111545468,2
1,0,0.5911908215745747,1,0,0.10257896680493714,2
3,1,0.32744296452591326,0,0,0.015468569817999833,2
1,1,0.5911908215745747,0,0,0.057970539254838485,0
3,1,0.34222672598679876,0,0,0.015126992566498259,1
1,0,0.7890017143610708,0,0,0.14891148113361488,0
3,0,0.47250428590267707,0,2,0.031034733136428686,2
1,1,0.31425557167348017,1,0,0.11711220051482524,2
2,1,0.3538177502307794,0,0,0.029343047399992037,0
2,0,0.2615060002637479,2,1,0.044893010197349675,2
1,0,0.36700514308321247,3,2,0.5133418122566507,2
